Amy Klobuchar,27.63,71.43
Ben Sasse,32.74,66.4
Bernie Sanders,24.03,73.34
Bill Cassidy,69.98,29.55
Bob Corker,26,74
Brian Schatz,30.32,68.36
Chris Coons,33.51,64.86
Chris Murphy,28.72,70.1
Chris Van Hollen,31.07,67.89
Chuck Grassley,37.07,61.83
Claire McCaskill,32.86,64.08
Cory Booker,28.98,69.85
Jeff Flake,68.1,31.33
Jerry Moran,34.44,64.63
Jim Inhofe,37.75,59.04
John Boozman,40.23,59.18
John Cornyn,31.24,67.85
Lindsey Graham,32.31,67.4
Lisa Murkowski,60.5,39.11
Marco Rubio,32.81,66.1
Mark Warner,28.21,70.39
Martin Heinrich,30.34,67.789
Mazie Hirono,19.69,77.17
Mike Crapo,46.15,52.31
Patty Murray,25.82,73.61
Rand Paul,28.59,69.54
Ron Wyden,25.8,73.229
Roy Blunt,40.19,59.12
Lamar Alexander,39.29,59.8
Angus King,39.81,57.77
Mitch McConnell,26.99,72.01
Tammy Baldwin,32.6,66.18
Richard Burr,46.38,51.83
Maria Cantwell,28.15,70.53
Ben Cardin,29.48,69.08
Tom Carper,35.03,62.42
Susan Collins,41.92,57.25
Dick Durbin,28.249,71.03
Mike Enzi,36.43,61.24
Deb Fischer,40.38,59.14
Maggie Hassan,29.03,69.59
Heidi Heitkamp,33.77,64.24
Johnny Isakson,40.33,58.58
James Lankford,32.54,66.27
Patrick Leahy,31,69
Bob Menendez,27.71,69.88
James Risch,43.27,55.56
Mike Rounds,34.8,63.88
Jeanne Shaheen,32.84,65.17
Luther Strange,34.57,64.86
Jon Tester,30.11,62.5
Tim Scott,35.63,63.31
Tom Udall,19.85,79.39
Roger Wicker,33.45,65.87
Michael Bennet,33.53,65.49
Bill Nelson,30.18,68.61
Richard Blumenthal,28.19,70.32
Bob Casey,29.98,68.65
Shelley Moore Capito,59.85,39.75
Catherine Cortez Masto,40,57.58
Cory Gardner,59.71,39.85
Dan Sullivan,53.78,45.38
David Perdue,35.91,63.55
Dean Heller,72.9,26.73
Joe Donnelly,31.82,67.17
Tammy Duckworth,27.95,70.32
Dianne Feinstein,29.06,69.93
Al Franken,25.95,73.41
Gary Peters,30.64,68.09
Kirsten Gillibrand,31.13,68.32
Jack Reed,27.52,69.8
Jeff Merkley,10.53,89.34
John Barrasso,33.9,63.17
John Hoeven,59.88,37.72
John Kennedy,45.08,54.1
John McCain,29.15,70.34
John Thune,32.87,64.94
Joni Ernst,49.04,49.59
Kamala Harris,26.94,72.05
Ed Markey,33.15,65.77
Mike Lee,23.29,75.99
Orrin Hatch,34.089,65.19
Pat Roberts,44.57,53.67
Rob Portman,57.29,42.35
Ron Johnson,64.53,34.78
Chuck Schumer,18.66,80.42
Richard Shelby,42.52,55.46
Sherrod Brown,38.16,60.62
Debbie Stabenow,25.2,73.57
Ted Cruz,26.53,72.55
Thad Cochran,29.07,69.77
Thom Tillis,52.28,46.47
Todd Young,37.77,61.38
Tom Cotton,39.05,59.72
Pat Toomey,42.3,55.92
Elizabeth Warren,18,81.36
Sheldon Whitehouse,27.66,71.28
Joe Manchin,37.66,71.28
Steve Daines,27.83,71.21
Tim Kaine,25.95,73.32
